50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,block_deflection,clearance_other,foul_committed_card,foul_committed_offensive,goalkeeper_punched_out,pass_deflected,pass_outswinging,shot_deflected,shot_one_on_one,shot_open_goal,pass_miscommunication,foul_committed_penalty,foul_won_penalty,block_save_block,dribble_no_touch,goalkeeper_success_in_play,player_off_permanent,goalkeeper_shot_saved_off_target,shot_saved_off_target,goalkeeper_lost_out,shot_redirect,shot_follows_dribble,goalkeeper_shot_saved_to_post,shot_saved_to_post,goalkeeper_lost_in_play,goalkeeper_penalty_saved_to_post,half_start_late_video_start,goalkeeper_success_out
,,,,,,,,,,,,,,,,,,1.270931,,,,,,,,,,,d2039b8e-dc94-48b3-a22d-7afd593247a8,1237,,,"[120.0, 80.0]",3829517,31,,,,,-1.7293459,a70a2bc7-5653-46da-a0a1-b1460eb7ddef,Left Foot,,,"[114.1, 43.1]",True,High Pass,True,37.368702,,,Roderic Filippi,7808.0,,,,Inswinging,,Corner,1,From Corner,Damjan Đoković,31911.0,Left Center Midfield,55,Gazélec Ajaccio,160,['11a3a23c-db45-46d8-88d2-b810610647e4'],46,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:31:46.262,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1.008843,,,,,,,,,,,73a2278d-d3b9-4064-9f6d-41d888b386a2,1246,,,"[118.3, 30.1]",3829516,24,,,,,1.9942358,fcdb7919-dc8c-4ba0-8dd2-91a57cdfa28f,Right Foot,,,"[115.1, 37.2]",True,Ground Pass,,7.787811,,,Raphaël Adelino José Guerreiro,5209.0,,,,,,,1,Regular Play,Abdul Majeed Waris,7615.0,Left Center Forward,54,Lorient,165,"['961b9196-c084-45a7-8043-b1ad2a833a5c', 'c92d1d3a-a0d1-452b-a6ef-b58c0aece851']",52,,,,,,,,,,,,,,,,Lorient,165,00:24:52.744,Pass,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.533631,,,,,,,,,,,935da7bd-5c1b-4c2a-839a-4cc5a2a46d83,2642,,,"[102.3, 35.9]",3829515,62,,,,,-0.95825875,0df6e4b0-4ab5-4c05-ade7-3a1d80d9bbd1,Right Foot,,,"[104.9, 32.2]",True,Ground Pass,,4.5221677,,,Ryad Boudebouz,6661.0,,,,,,,2,Regular Play,Rodrigue Casimir Ninga,3020.0,Left Wing,139,Montpellier,139,"['37c0ed9d-9042-432e-bfde-1246eb039eae', '55bfdfbd-2127-4c03-a0c0-934e8aaa90b5']",0,,,,,,,,,,,,,,,,Montpellier,139,00:17:00.576,Pass,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1.528584,,,,,,,,,,,d4bd319c-7b59-4796-89a2-8196412917b5,3591,,,"[110.9, 66.7]",3829515,86,,,,,-1.56716,b6f26741-3042-452a-8814-b7248330106a,Right Foot,True,,"[111.0, 39.2]",True,High Pass,,27.500181,,,Rodrigue Casimir Ninga,3020.0,,,,,,,2,From Corner,Vitorino Hilton da Silva,3674.0,Right Center Back,190,Montpellier,139,['1794635d-7bd7-45f8-9c05-2fafc6ec9aec'],59,,,,,,,,,,,,,,,,Montpellier,139,00:41:59.815,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,4.637205,,,,,,,,,,,904524e5-ad8c-4f2f-9aa5-9f90a6bce6e5,1320,,,"[36.4, 74.9]",3829509,36,,,,,-0.36337528,c4e66e27-a730-4df6-8636-7fa4735c502b,Right Foot,,,"[105.3, 48.7]",True,High Pass,,73.713295,,,Benjamin Moukandjo Bilé,33178.0,,,,Through Ball,True,,1,From Counter,François Bellugou,3140.0,Center Defensive Midfield,84,Lorient,165,['bd5a5871-96f3-4c60-8228-4b045ae540d2'],1,,,,,,,,,,,,,,,,Lorient,165,00:36:01.981,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.920415,,,,,,,,,,,bff7440f-27c4-4973-a400-d2a9d7c4d9c4,2476,,,"[109.9, 52.8]",3829508,73,,,,,-1.5432804,cd4a2c14-ec20-440f-95db-d9d873bee000,Right Foot,,,"[110.2, 41.9]",True,Ground Pass,,10.904128,,,Julien Féret,2959.0,,,,,,,2,Regular Play,Andy Delort,3038.0,Center Forward,158,Caen,140,['56e79759-0aac-4e55-a956-4aa58584bf2c'],7,,,,,,,,,,,,,,,,Caen,140,00:28:07.322,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.978053,,,,,,,,,,,a2cb0804-7f39-4725-9a17-8e686b7c24d0,1131,,,"[111.1, 46.7]",3829507,23,,,,,-1.3164283,855ba9be-f70a-4ac7-8816-f6e50d943874,Left Foot,,,"[113.7, 36.7]",True,High Pass,,10.332473,,,Óscar Guido Trejo,11540.0,,,,,,,1,Regular Play,Wissam Ben Yedder,6723.0,Left Attacking Midfield,55,Toulouse,130,['ca55a1f1-3815-4353-ab26-c9bfaee8bda3'],40,,,,,,,,,,,,,,,,Toulouse,130,00:23:40.807,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1.955679,,,,,,,,,,,e894344c-884b-47c7-9eae-76a460eaa11d,1232,,,"[103.8, 75.4]",3829507,26,,,,,-1.390024,1af0c7dd-c6a4-4475-91b9-168608c12fef,Right Foot,True,,"[110.8, 37.1]",True,High Pass,,38.934433,,,Cheikh N''Doye,5676.0,,,,,,,1,Regular Play,Vincent Manceau,3431.0,Right Back,58,Angers,145,['964ef367-7dd2-49f3-8560-ce0ca0a8995b'],1,,,,,,,,,,,,,,,,Angers,145,00:26:01.794,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1.9841,,,,,,,,,,,47c5d13f-d451-46f8-a46e-5c805832147b,1494,,,"[77.1, 46.4]",3829507,32,,,,,1.3916672,dd249611-322c-469e-b235-e03fcc9a3cab,Right Foot,,,"[81.5, 70.7]",True,Ground Pass,,24.69514,,,Abdoul Razzagui Camara,3078.0,,,,,,,1,From Goal Kick,Gilles Sunu,3111.0,Center Forward,73,Angers,145,['ba387631-4b14-436b-871d-54cc3a813bf7'],48,,,,,,,,,,,,,,,,Angers,145,00:32:48.482,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1.651515,,,,,,,,,,,c86b5115-5d67-4344-b455-a72cd8f4ac82,1128,,,"[81.0, 14.6]",3829506,29,,,,,-0.6783707,7b09723e-e254-458e-b3ea-f5d4391831e1,Right Foot,,,"[94.4, 3.8]",True,Ground Pass,,17.210463,,,Sofiane Boufal,3625.0,,,,,,,1,Regular Play,Mounir Obbadi,40697.0,Left Defensive Midfield,58,Lille,143,['88f20194-c129-4463-a8d2-8e11f74b663b'],44,,,,,,,,,,,,,,,,Lille,143,00:29:44.608,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
