counterpress,duration,id,index,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,team,team_id,timestamp,type,under_pressure,pass_goal_assist,pass_straight,pass_no_touch,pass_miscommunication,formation,position_id,position_name,jersey_number
,1.031961,09b69cce-8421-40a7-9de9-901db6c42a42,744,"[92.5, 48.7]",3754067,21,,,,0.09851724,012409fc-d929-4080-ae84-d778076d135a,Right Foot,,,,"[109.7, 50.4]",Ground Pass,,17.283808,,,Carl Jenkinson,21254.0,,,,,,1,Regular Play,Victor Moses,3963.0,Right Wing,57,West Ham United,40,['916450c7-8894-4e4a-926c-1be8443f09db'],55,West Ham United,40,00:21:55.771,Pass,,True,,,,,,,
,0.996269,02ce57d4-4d2d-4f80-86d5-880f7dc6842c,3362,"[84.3, 55.4]",3754067,93,,,,-0.9805887,d5fb4c06-cad3-46d8-bd3f-251718f7962e,Right Foot,,,,"[98.3, 34.5]",Ground Pass,,25.155716,,,Dimitri Payet,3491.0,,,,,,2,Regular Play,Manuel Lanzini,3595.0,Left Defensive Midfield,177,West Ham United,40,['5b9af64c-ca5a-4c14-9550-3d1e4440263b'],28,West Ham United,40,00:48:28.631,Pass,,True,,,,,,,
,0.702966,f3e9b99a-5121-4f4f-a00a-ac9f4c268708,685,"[108.9, 25.4]",3754079,16,,,,1.4130276,2c60dc37-3fb7-4870-a08b-7c324470a14b,Right Foot,,,,"[111.0, 38.6]",Low Pass,,13.366002,,,Aleksandar Mitrović,4269.0,,,,,,1,Regular Play,Georginio Wijnaldum,3567.0,Left Wing,38,Newcastle United,37,['d9274489-a38b-4053-9740-c48f75dcf4de'],58,Newcastle United,37,00:16:58.658,Pass,,True,,,,,,,
,0.909122,52798c0b-e8f3-48e6-ba9e-cc161afb7885,1496,"[112.5, 30.8]",3754079,41,,,,1.5208379,5fa91797-3d7e-4762-9271-1b398ba9480d,Head,,,,"[113.1, 42.8]",High Pass,,12.014991,,,Sergio Leonel Agüero del Castillo,3237.0,,,,,,1,From Corner,Fernando Luiz Rosa,3054.0,Left Center Midfield,87,Manchester City,36,['6cd789ff-4795-48e0-957e-d904bb5b78f8'],16,Manchester City,36,00:41:16.242,Pass,,True,,,,,,,
,1.534382,ba1b245c-2b4a-4342-b238-6cefa69198be,1855,"[86.1, 28.1]",3754079,48,,,,1.3059151,d7a770c5-2718-4895-be94-1ac7d649cd0b,Left Foot,,,,"[92.8, 52.8]",Ground Pass,,25.592577,,,Sergio Leonel Agüero del Castillo,3237.0,,,,,,2,Regular Play,David Josué Jiménez Silva,3064.0,Right Wing,110,Manchester City,36,['1cc5bcce-cfe4-496c-bf46-abff998fcdaa'],37,Manchester City,36,00:03:37.600,Pass,,True,,,,,,,
,1.306554,649a94dd-730b-429c-af45-238dac0d73f7,1871,"[75.3, 28.4]",3754079,49,,,,0.71548426,46726609-0223-469c-93f6-13daaca333ee,Right Foot,,,,"[94.4, 45.0]",Ground Pass,,25.305532,,,Sergio Leonel Agüero del Castillo,3237.0,,,Through Ball,True,,2,Regular Play,Kevin De Bruyne,3089.0,Center Attacking Midfield,113,Manchester City,36,['697c0628-2192-4808-b6ef-b346d8274a6b'],51,Manchester City,36,00:04:51.893,Pass,,True,,,,,,,
,1.759235,adbf0520-5485-4a6c-8a52-5b58298aa3eb,1918,"[103.6, 75.9]",3754079,52,,,,-1.2910564,40df1df3-5c1e-4bc5-b746-bdee4a0eed7d,Right Foot,True,,,"[111.5, 48.4]",High Pass,,28.612236,,,Kevin De Bruyne,3089.0,,,,,,2,From Free Kick,Jesús Navas González,6821.0,Left Wing,115,Manchester City,36,['1516b307-4d56-44f5-b263-2e19a390e938'],57,Manchester City,36,00:07:57.558,Pass,,True,,,,,,,
,2.873958,40428082-4854-417b-a041-e0947355903c,2084,"[57.4, 46.4]",3754079,58,,,,-0.4772787,107cf136-5497-4d34-b004-727a48dedd01,Left Foot,,,,"[98.2, 25.3]",Low Pass,,45.9331,,,Sergio Leonel Agüero del Castillo,3237.0,,,,,,2,From Counter,David Josué Jiménez Silva,3064.0,Right Wing,123,Manchester City,36,['14ee5fed-1f56-4647-8641-80614d60b949'],59,Manchester City,36,00:13:59.841,Pass,,True,,,,,,,
,1.34354,bad7bc02-2f58-46ff-9a56-0db6345d92b3,2155,"[113.3, 26.5]",3754079,61,,,,1.4484164,fa8b29b3-4707-4967-b58b-43caa84a09d5,Left Foot,,,,"[115.6, 45.2]",Ground Pass,,18.840914,,,Sergio Leonel Agüero del Castillo,3237.0,,,,,,2,From Throw In,Kevin De Bruyne,3089.0,Center Attacking Midfield,128,Manchester City,36,['06228f93-fca5-4aa5-89b0-bb1918fae870'],43,Manchester City,36,00:16:43.487,Pass,,True,,,,,,,
,1.274155,69660ed0-0c13-4ed9-8180-c8b6e4162634,2986,"[108.6, 74.4]",3754083,78,,,,-1.4389132,e809b246-5211-4271-817c-7367d1b7f292,Right Foot,True,,,"[112.5, 45.0]",High Pass,,29.657545,,,Radamel Falcao García Zárate,3445.0,,,,,,2,Regular Play,Pedro Eliezer Rodríguez Ledesma,3958.0,Right Midfield,150,Chelsea,33,['b137bdf7-bbf9-4d6b-a50f-81d8414d4e1d'],42,Chelsea,33,00:33:42.275,Pass,,True,,,,,,,
,0.608806,7b095188-a38b-41db-be47-b082d4164c83,3042,"[118.8, 49.5]",3754083,80,,,,-2.057039,415dd355-ac78-4494-b7fb-049aaaf42913,Right Foot,,,,"[115.1, 42.5]",Low Pass,,7.9177017,,,Joel Ward,3443.0,,,,,,2,Regular Play,Bakary Sako,3469.0,Right Wing,154,Crystal Palace,31,['7f613f4a-c844-49b4-ac55-39097e247860'],30,Crystal Palace,31,00:35:30.649,Pass,,True,,,,,,,
,1.552465,dbf18587-ccb8-4f27-b0a3-ba5b2efc9ef1,269,"[75.1, 37.0]",3754077,5,,,,0.9583733,d86af322-ed1a-40ba-84ff-ef30c4307e89,Right Foot,,,,"[86.2, 52.8]",Ground Pass,,19.309324,,,Victor Moses,3963.0,,,,,,1,Regular Play,Dimitri Payet,3491.0,Left Midfield,10,West Ham United,40,['d3b312a1-d8db-4927-83d8-b662547ed03d'],16,West Ham United,40,00:05:16.903,Pass,,True,,,,,,,
,0.72137,62b0cb33-0311-4a44-a68d-a265c1ad7e0e,1395,"[116.8, 37.9]",3754077,30,,,,1.7506498,e8369a50-77e9-44f4-b1e3-8c2c2746aac7,Right Foot,,,,"[115.8, 43.4]",Low Pass,,5.59017,,,Diafra Sakho,3962.0,,,,,Recovery,1,From Corner,Pedro Mba Obiang Avomo,3897.0,Center Defensive Midfield,56,West Ham United,40,"['5be8fbe1-11a7-4133-b105-f323a9a14aa6', '72bce1f2-6518-4f12-971c-2e8d97a7f876']",45,West Ham United,40,00:30:45.524,Pass,True,True,,,,,,,
,0.972939,f2b3ebe9-d429-46a3-9f0a-cf7945566bc8,1843,"[87.9, 50.7]",3754077,46,,,,-1.2368512,1b41a21e-84c6-4118-8c6e-79099933d987,Right Foot,,,,"[93.0, 36.0]",Low Pass,,15.559563,,,Kevin De Bruyne,3089.0,,,,,,1,Regular Play,Sergio Leonel Agüero del Castillo,3237.0,Center Forward,80,Manchester City,36,"['2ede3c11-96e0-4890-8bac-56f10198450e', '423bec01-e098-45f3-984c-dd5f4831d8d0']",11,Manchester City,36,00:46:11.413,Pass,True,True,,,,,,,
,1.815886,fdb21ed2-a441-4154-8c3a-246a74462720,1334,"[120.0, 0.1]",3754060,40,,,,1.6900198,50c023ae-2e6b-492e-be88-1a672726b42b,Right Foot,,,,"[115.4, 38.5]",High Pass,True,38.674538,,,Daniel William John Ings,3654.0,,,Inswinging,,Corner,1,From Corner,James Philip Milner,3473.0,Right Center Midfield,84,Liverpool,24,['1f47057c-b199-484f-9246-385e9c14693e'],57,Liverpool,24,00:40:57.375,Pass,,True,,,,,,,
,1.658807,2a9ca506-d80f-4180-bc34-6d1f165aff31,191,"[120.0, 0.1]",3754085,4,,,,1.7051178,3a33a7c2-b3e3-4640-8ebe-ec9820eda0ff,Right Foot,,,,"[115.0, 37.1]",High Pass,True,37.336308,,,Riyad Mahrez,3814.0,,,Inswinging,,Corner,1,From Corner,Marc Albrighton,3307.0,Left Midfield,11,Leicester City,22,['e92cbb27-0d5c-4105-a4f4-30ee120f1ce5'],38,Leicester City,22,00:04:38.541,Pass,,True,,,,,,,
