bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,50_50,block_offensive,foul_committed_offensive,injury_stoppage_in_chain,shot_one_on_one,clearance_other,dribble_overrun,block_save_block,shot_open_goal,foul_committed_penalty,foul_won_penalty,goalkeeper_punched_out,ball_recovery_offensive,player_off_permanent,goalkeeper_success_in_play,goalkeeper_shot_saved_off_target,shot_saved_off_target,shot_redirect,goalkeeper_lost_out,goalkeeper_lost_in_play,goalkeeper_shot_saved_to_post,shot_saved_to_post,shot_follows_dribble,goalkeeper_success_out,half_end_early_video_end,pass_start_x,pass_start_y,pass_end_x,pass_end_y
,,,,,,,,,,,,,,,,1.33597,,,,,,,,,,,,9ca90e7d-69a7-4967-bb59-ad1a32c80c12,3068,,"[110.0, 19.9]",266653,85,,,,,1.4124377,e9cffa15-0a6e-411a-9707-40b59ef512cf,Left Foot,True,,,"[114.2, 46.2]",True,High Pass,,26.63325,,,,,Arda Turan,11094.0,,,,,,,2,From Throw In,Jérémy Mathieu,10609.0,Left Back,172,Barcelona,217,['3ea648ec-7864-46e3-95c5-2bcdc90d3adb'],14,,,,,,,,,,,,,,,,,Barcelona,217,00:40:14.328,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,110.0,19.9,114.2,46.2
,,,,,,,,,,,,,,,,1.0187,,,,,,,,,,,,085cbf7c-19b1-45b9-9741-c43f0afe795f,2631,,"[110.9, 29.0]",265944,62,,,,,1.282543,813b3058-a269-42e9-b2ea-91c2a17480ec,Left Foot,,,,"[116.0, 46.2]",True,Ground Pass,,17.940178,,,,,Luis Alberto Suárez Díaz,5246.0,,,,,,,2,Regular Play,Andrés Iniesta Luján,5216.0,Left Center Midfield,113,Barcelona,217,"['0044cd0b-b1b5-41f9-9bc6-37a1a16e8c65', '1241f989-984e-4445-bfb5-f30796cca4b5']",58,,,,,,,,,,,,,,,,,Barcelona,217,00:17:58.796,Pass,True,,,,,,,,,,,,,,,,,,,,,,,,,,110.9,29.0,116.0,46.2
,,,,,,,,,,,,,,,,1.236528,,,,,,,,,,,,dfec78e2-a922-45f8-b3f9-f6a3e3f9c02e,3468,,"[94.8, 42.3]",265944,87,,,,,-0.5394185,9a79a27e-0524-490d-8828-aa6996d23d74,Left Foot,,,,"[109.5, 33.5]",True,Ground Pass,,17.132717,,,,,Luis Alberto Suárez Díaz,5246.0,,,,,,,2,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,147,Barcelona,217,['70860be9-4694-4801-b3de-b7bee1a697b8'],20,,,,,,,,,,,,,,,,,Barcelona,217,00:42:20.877,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,94.8,42.3,109.5,33.5
,,,,,,,,,,,,,,,,1.049987,,,,,,,,,,,,a7193f44-b0ea-47a3-a121-32e699a6903d,1221,,"[100.0, 29.2]",265894,31,,,,,1.3567356,ead102bd-e805-49b9-8377-feba3cb4adee,Right Foot,,,,"[102.5, 40.7]",True,Ground Pass,,11.768602,,,,,Juan Pablo Añor Acosta,6563.0,,,,Through Ball,True,,1,Regular Play,Charles Días Barbosa de Oliveira,6707.0,Right Center Forward,75,Málaga,223,"['2789cfc2-4d94-477f-8688-2f900a600fa6', 'ad288788-43bd-4d5d-b29a-1b6b76fdc698']",25,,,,,,,,,,,,,,,,,Málaga,223,00:31:25.073,Pass,True,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,29.2,102.5,40.7
,,,,,,,,,,,,,,,,1.4022,,,,,,,,,,,,35bf6b66-ea6c-4efb-a036-25e831cb6623,1898,,"[102.1, 17.4]",265894,50,,,,,1.155776,82b83f49-9e9b-4dcb-857c-fcb650fbf129,Right Foot,True,,,"[113.6, 43.5]",True,High Pass,,28.52122,,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,2,Regular Play,Adriano Correia Claro,22102.0,Left Back,119,Barcelona,217,['e0ded7d0-b898-43c9-bc2c-bdc3ba273037'],52,,,,,,,,,,,,,,,,,Barcelona,217,00:05:52.956,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,102.1,17.4,113.6,43.5
,,,,,,,,,,,,,,,,1.288762,,,,,,,,,,,,c00f17a6-0527-4fca-b2bf-bd2b64f4e8e2,1924,,"[93.4, 46.8]",265958,51,,,,,0.3665754,735c12a3-6ca7-480c-9cf3-a2ce43ee3645,Right Foot,,,,"[104.6, 51.1]",True,Ground Pass,,11.997083,,,,,Luis Alberto Suárez Díaz,5246.0,,,,Through Ball,True,,2,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,100,Barcelona,217,['7b6a977c-a6a5-4445-b7ee-ddde612d6f22'],25,,,,,,,,,,,,,,,,,Barcelona,217,00:06:25.558,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,93.4,46.8,104.6,51.1
,,,,,,,,,,,,,,,,1.7396,,,,,,,,,,,,1b1cf446-bd02-4f88-bd93-d0a2a7efadfb,2268,,"[120.0, 80.0]",265958,60,,,,,-1.7972586,10210397-392a-421e-b204-6cb28107b063,Right Foot,,,,"[110.0, 36.6]",True,High Pass,,44.537174,,,,True,Luis Alberto Suárez Díaz,5246.0,,,True,Outswinging,,Corner,2,From Corner,Neymar da Silva Santos Junior,4320.0,Left Wing,120,Barcelona,217,['d5489ab6-7e6b-423a-86d4-7b8a7d9b0eeb'],42,,,,,,,,,,,,,,,,,Barcelona,217,00:15:42.664,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,120.0,80.0,110.0,36.6
,,,,,,,,,,,,,,,,1.1622,,,,,,,,,,,,575b80a2-e47e-4e90-8689-83dfcb2406ab,3049,,"[113.0, 52.0]",265958,82,,,,,-1.540318,546a8599-335b-4652-80f0-11b016f92960,Right Foot,,,,"[113.5, 35.6]",True,Ground Pass,,16.40762,,,,,Neymar da Silva Santos Junior,4320.0,,,,,,,2,From Throw In,Luis Alberto Suárez Díaz,5246.0,Center Forward,161,Barcelona,217,['2d44fc05-f8e1-4b75-b64e-65d1aa4011c5'],15,,,,,,,,,,,,,,,,,Barcelona,217,00:37:15.784,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,113.0,52.0,113.5,35.6
,,,,,,,,,,,,,,,,1.8779,,,,,,,,,,,,217dc049-edde-4207-ac7b-0a82bf5aafb3,978,,"[109.7, 74.9]",267611,24,,,,,-1.5409139,e6dcdb33-e768-47a9-8636-87152c25f389,Right Foot,True,,,"[110.8, 38.1]",True,High Pass,,36.816437,,,,,Luis Alberto Suárez Díaz,5246.0,,,,,,,1,From Throw In,Sergi Roberto Carnicer,6379.0,Right Back,53,Barcelona,217,['472f8cc5-e12e-4f89-a860-7f3ac59eaeee'],25,,,,,,,,,,,,,,,,,Barcelona,217,00:24:25.838,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,109.7,74.9,110.8,38.1
,,,,,,,,,,,,,,,,0.908398,,,,,,,,,,,,a31c98d1-b79f-4796-a09b-fbbef15d247a,2257,,"[110.8, 41.2]",267611,53,,,,,-1.553099,c1d895ce-8209-4198-a2fe-87b9f96003bb,No Touch,,,,"[111.0, 29.9]",True,Ground Pass,,11.30177,,True,,,Luis Alberto Suárez Díaz,5246.0,,,,,,,2,From Free Kick,Sergio Busquets i Burgos,5203.0,Left Center Midfield,106,Barcelona,217,['e0be189c-25b7-42ec-8825-d56e47ea516b'],41,,,,,,,,,,,,,,,,,Barcelona,217,00:08:41.323,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,110.8,41.2,111.0,29.9
