counterpress,duration,id,index,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,team,team_id,timestamp,type,under_pressure,pass_goal_assist,pass_straight,pass_no_touch,pass_miscommunication,formation,position_id,position_name,jersey_number
,2.465104,0a8a168a-382c-42b0-9a02-fb6f07921c47,3693,"[120.0, 0.1]",3753976,87,,,,1.7784204,3da8aa61-c50c-4a29-a126-eecda64d5de0,Left Foot,,,,"[111.7, 39.5]",High Pass,,40.264748,,True,Theo Walcott,3668.0,True,,Outswinging,,Corner,2,From Corner,Mesut Özil,3496.0,Center Attacking Midfield,174,Arsenal,1,['2eb15d4e-f139-4d24-86a0-62d30fd451ba'],42,Arsenal,1,00:42:42.518,Pass,,,,,,,,,
,1.45527,d8b62769-f488-4113-95a5-0789f8974ce0,3837,"[98.2, 60.3]",3753976,92,,,,-0.96048224,a4fa6469-c703-4d9e-b6b0-1facd8ed1628,Left Foot,,,,"[109.6, 44.0]",High Pass,,19.890953,,,Daniel Nii Tackie Mensah Welbeck,3569.0,True,,,,,2,From Throw In,Theo Walcott,3668.0,Right Wing,184,Arsenal,1,['ac986c8e-50b3-4a34-baa7-572a005ed11f'],13,Arsenal,1,00:47:13.868,Pass,,,,,,,,,
,1.125675,e5ae5684-cfe9-485d-83f2-46ebc212a6c6,3932,"[21.7, 55.3]",3753976,95,,,,-0.098045275,28eadf29-5058-4ed3-9694-2a202a9c6de8,Right Foot,,,,"[33.9, 54.1]",Low Pass,,12.258874,,,Bafétimbi Gomis,20521.0,True,,,,Recovery,2,From Counter,Wayne Routledge,3449.0,Right Center Forward,192,Swansea City,26,['ce3c3e76-507e-46bb-b174-64b03d82e8e0'],14,Swansea City,26,00:50:14.246,Pass,,,,,,,,,
,3.144853,3c1043e1-031b-4b8f-9fc7-8bacc1f55c42,390,"[77.4, 22.9]",3753977,8,,,,0.7906155,49eed717-df1a-4cc3-8106-5b670fcc65ac,Right Foot,,,,"[106.0, 51.8]",Low Pass,,40.659195,,,Odion Jude Ighalo,5458.0,True,,Through Ball,True,,1,Regular Play,Troy Deeney,3454.0,Left Center Forward,21,Watford,23,['896f8fd2-78a1-4c2a-81bd-fbf7a6cb86da'],33,Watford,23,00:08:33.727,Pass,,,,,,,,,
,1.581115,120bf308-27f7-4cb1-8a6f-1d648d038e28,619,"[77.4, 56.1]",3753977,13,,,,-1.1487372,d5bece37-8f79-4c5c-8434-afebca3c7148,Right Foot,,,,"[91.5, 24.7]",Ground Pass,,34.420486,,,Marko Arnautović,3325.0,True,,,,,1,From Throw In,Ibrahim Afellay,4891.0,Center Attacking Midfield,38,Stoke City,30,['f8eb1ad2-8a8d-4971-a032-dc8ec0dfe866'],45,Stoke City,30,00:13:45.137,Pass,,,,,,,,,
,1.356999,2e149e6d-da6c-475b-90bd-304a5191052d,798,"[110.3, 71.9]",3753977,17,,,,-1.3694212,eb5fd308-44c0-490e-aeb8-4607d07f404c,Right Foot,True,,,"[117.2, 38.1]",Ground Pass,,34.4971,,,Jonathan Walters,3670.0,,,,,,1,Regular Play,Phil Bardsley,3643.0,Right Back,48,Stoke City,30,['310b5869-9eab-49cb-8bde-fbe7535aad48'],39,Stoke City,30,00:17:39.303,Pass,,True,,,,,,,
,2.674653,2386c76b-740a-4d9f-a6ed-2432544fab48,919,"[58.0, 70.5]",3753977,21,,,,-0.6685046,50f62ffd-1a23-4dd6-b487-4a26cd4d5ac1,Right Foot,,,,"[103.2, 34.8]",High Pass,,57.598003,,,Marko Arnautović,3325.0,True,,Through Ball,True,,1,Regular Play,Phil Bardsley,3643.0,Right Back,52,Stoke City,30,['00d22a1e-3c2f-4b08-8ce8-d2cb415dfc0e'],3,Stoke City,30,00:21:03.263,Pass,,,,,,,,,
,0.897755,d207802c-b66f-450a-a954-ae93c68cb310,1138,"[105.2, 21.0]",3753977,27,,,,2.329534,ceed774b-3997-41df-a1a6-29ae725c3327,Right Foot,,,,"[97.9, 28.7]",Ground Pass,,10.610373,,,José Manuel Jurado Marín,6870.0,True,,,,,1,From Throw In,Troy Deeney,3454.0,Left Center Forward,65,Watford,23,"['baf1d146-f109-47b5-b6c2-ec9c915eb43e', 'eeea2e18-21be-4113-a1c9-0d635f0258d8']",35,Watford,23,00:27:35.264,Pass,True,,,,,,,,
,1.962777,f92b15c8-b1fd-4c55-b85d-df4bb17b5da2,1148,"[120.0, 80.0]",3753977,28,,,,-1.8015823,821d2c08-0e8d-48e9-bc3e-3c55608c3018,Right Foot,,,,"[111.4, 43.4]",High Pass,,37.59681,,True,Troy Deeney,3454.0,True,,Outswinging,,Corner,1,From Corner,José Manuel Jurado Marín,6870.0,Right Midfield,66,Watford,23,['b29cf008-5b77-479f-9588-2563ab5e5b64'],0,Watford,23,00:28:00.770,Pass,,,,,,,,,
,0.702836,bb8b0bc5-e5bd-420a-8b6f-ccc33c07220c,1584,"[97.2, 59.8]",3753977,40,,,True,-0.8960554,72aa432a-3b44-4cb6-96fc-4cde9f04f8ef,,,,,"[105.2, 49.8]",Low Pass,,12.806249,,,José Luis Sanmartín Mato,3265.0,True,,,,,1,From Free Kick,Jonathan Walters,3670.0,Right Wing,91,Stoke City,30,"['9d4fed5c-c04c-463e-8efe-235a02c40838', 'f0f16c27-9f54-4630-a419-1ac5cf35458b']",44,Stoke City,30,00:40:44.078,Pass,True,,,,,,,,
