50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,bad_behaviour_card,dribble_overrun,miscontrol_aerial_won,pass_deflected,pass_inswinging,pass_straight,pass_through_ball,ball_recovery_offensive,block_deflection,block_offensive,shot_one_on_one,dribble_no_touch,foul_committed_offensive,shot_deflected,shot_open_goal,block_save_block,goalkeeper_punched_out,foul_won_penalty,shot_redirect,goalkeeper_success_in_play,goalkeeper_shot_saved_off_target,shot_saved_off_target,shot_follows_dribble,goalkeeper_shot_saved_to_post,shot_saved_to_post,goalkeeper_lost_in_play,goalkeeper_lost_out,half_start_late_video_start,player_off_permanent,pass_start_x,pass_start_y,pass_end_x,pass_end_y
,,,,,,,,,,,,,,,2.251853,,,,,,,,,,,,,85db6e66-ee9b-48cf-8404-620bc0b0bf36,1701,,,"[120.0, 80.0]",3879537,45,,,,-1.7613288,a04daa32-d4f7-40b2-811e-73e917a7b075,Right Foot,,,"[110.8, 32.3]",True,High Pass,48.57911,,,,True,Cristian Eduardo Zapata Valencia,6360.0,,True,Outswinging,Corner,1,From Corner,Giacomo Bonaventura,7026.0,Left Center Midfield,97,AC Milan,243,['cd16bfb2-39b2-4a16-a493-7eb88b3eb4f4'],35,,,,,,,,,,,,,,,,AC Milan,243,00:45:35.108,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.0,80.0,110.8,32.3
,,,,,,,,,,,,,,,0.947426,,,,,,,,,,,,,e908b42f-fb96-4fb3-abbb-57ca5729fa41,2253,,,"[111.7, 23.2]",3879537,57,,,,1.298764,3e588cda-be01-4a6f-90be-dc2bdc3e7941,Left Foot,True,,"[117.0, 42.2]",True,Ground Pass,19.725365,,,,,Duván Esteban Zapata Banguera,7017.0,,,,,2,From Corner,Cyril Théréau,8272.0,Center Attacking Midfield,129,Udinese,230,"['28a7a8dc-4490-440c-bde3-ebac122fb21b', 'e03901e2-703f-4d34-8b29-d0c2697dd158']",5,,,,,,,,,,,,,,,,Udinese,230,00:12:05.774,Pass,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.7,23.2,117.0,42.2
,,,,,,,,,,,,,,,1.617678,,,,,,,,,,,,,35e029b7-b1c1-43c0-9e76-094bdd2261a7,1341,,,"[78.1, 27.0]",3878604,34,,,,0.8925135,156d0d73-d0f8-4a31-9146-06f6ee0573c8,Right Foot,,,"[94.7, 47.6]",True,Ground Pass,26.456001,,,,,Allan Marques Loureiro,7035.0,,,Through Ball,,1,From Goal Kick,Lorenzo Insigne,7037.0,Left Wing,86,Napoli,227,['6990e278-f998-495b-841b-deda97f4354c'],8,,,,,,,,,,,,,,,,Napoli,227,00:34:08.419,Pass,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,78.1,27.0,94.7,47.6
,,,,,,,,,,,,,,,2.289262,,,,,,,,,,,,,d1ff9ae4-2b45-4d08-9020-6a8fe54df134,3346,,,"[64.7, 42.1]",3878604,78,,,,-0.13602628,22572403-e6ae-4507-bcf3-1fe432e736d6,Right Foot,,,"[100.5, 37.2]",True,Ground Pass,36.133778,,,,,Manolo Gabbiadini,3949.0,,,Through Ball,,2,From Free Kick,Allan Marques Loureiro,7035.0,Right Center Midfield,183,Napoli,227,['7141884c-c384-4dff-80e5-39cd207ef217'],41,,,,,,,,,,,,,,,,Napoli,227,00:33:41.134,Pass,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,64.7,42.1,100.5,37.2
,,,,,,,,,,,,,,,1.070303,,,,,,,,,,,,,6a01b378-77c2-4c30-ab77-ec3b4c4eb5a1,698,,,"[118.3, 22.7]",3878603,18,,,,1.6929915,468e2122-596d-45a5-96fa-45c9e551e477,Left Foot,True,,"[116.2, 39.8]",True,High Pass,17.228464,,,,,Duván Esteban Zapata Banguera,7017.0,,,,,1,From Throw In,Antonio Di Natale,19846.0,Right Center Forward,43,Udinese,230,['373fed68-eb34-4856-8f22-bd8385d1b4f1'],22,,,,,,,,,,,,,,,,Udinese,230,00:18:22.770,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.3,22.7,116.2,39.8
,,,,,,,,,,,,,,,2.973636,,,,,,,,,,,,,2d9fa55c-d252-4d29-9b77-e79370013bc4,3302,,,"[79.9, 46.8]",3878603,91,,,,0.17309685,ddd7d97b-453f-4835-8d8d-4418756a1ded,Right Foot,,,"[112.5, 52.5]",True,High Pass,33.094563,,,,,Massimo Maccarone,40252.0,,,Through Ball,,2,Regular Play,Riccardo Saponara,7150.0,Center Attacking Midfield,199,Empoli,290,['ddbd4649-afbc-48fa-b52e-aa73c06b1864'],49,,,,,,,,,,,,,,,,Empoli,290,00:46:49.222,Pass,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,79.9,46.8,112.5,52.5
,,,,,,,,,,,,,,,0.456074,,,,,,,,,,,,,f408713c-b396-4edb-a701-bc543a3d025d,908,,,"[108.2, 36.4]",3878602,20,,,,0.9272952,8fbe5a63-c0d3-4721-bf3c-6be7ff2dad77,Right Foot,,,"[110.3, 39.2]",True,Ground Pass,3.5,,,,,Carlos Arturo Bacca Ahumada,5688.0,,,,,1,Regular Play,Giacomo Bonaventura,7026.0,Left Center Midfield,46,AC Milan,243,"['d505dd1f-87d5-49e0-b477-eac361bcc14e', 'dd1464f9-4f9f-4184-aa3e-e98a408eda35']",15,,,,,,,,,,,,,,,,AC Milan,243,00:20:15.544,Pass,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.2,36.4,110.3,39.2
,,,,,,,,,,,,,,,1.824402,,,,,,,,,,,,,a493c72f-793b-4736-8aed-559c17396f3a,1303,,,"[120.0, 0.1]",3878602,31,,,,1.6892269,890baa9f-b464-4073-a32d-d8a449fde51c,Right Foot,,,"[115.3, 39.6]",True,High Pass,39.778637,,,,,Oscar Hiljemark,5605.0,,,Inswinging,Corner,1,From Corner,Robin Quaison,8552.0,Right Center Forward,67,Palermo,2256,['96827d90-9130-4453-bd05-e515ef03d85a'],30,,,,,,,,,,,,,,,,Palermo,2256,00:31:30.605,Pass,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,120.0,0.1,115.3,39.6
,,,,,,,,,,,,,,,1.166129,,,,,,,,,,,,,ae63cc8c-c819-4798-8bf5-2c52c8a20d11,2863,,,"[100.8, 42.3]",3878602,71,,,,0.75139767,d52c512d-6803-442a-a47f-c28bde54925e,Right Foot,,,"[108.4, 49.4]",True,Ground Pass,10.400481,,,,,Oscar Hiljemark,5605.0,,,Through Ball,,2,Regular Play,Alberto Gilardino,38389.0,Left Center Forward,162,Palermo,2256,"['1e3ac1d4-b081-44a2-8e96-554a9da73332', '8bc18d4c-6703-4546-a2d5-e4c8813ad460']",39,,,,,,,,,,,,,,,,Palermo,2256,00:26:39.964,Pass,True,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,100.8,42.3,108.4,49.4
,,,,,,,,,,,,,,,1.249759,,,,,,,,,,,,,0e6279a7-f8f4-4692-935f-6d5e6ab2e3bc,2958,,,"[93.4, 74.3]",3878602,74,,,,-1.069376,05269b76-8f99-407e-8126-d59a65b7b923,Right Foot,True,,"[108.2, 47.3]",True,High Pass,30.790258,,,,,Carlos Arturo Bacca Ahumada,5688.0,,,,,2,Regular Play,Juraj Kucka,10919.0,Right Center Midfield,167,AC Milan,243,['fa3410a6-e890-4403-9dbb-61bdeae3e32a'],21,,,,,,,,,,,,,,,,AC Milan,243,00:29:21.652,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.4,74.3,108.2,47.3
